condition,rate,seed,step,acc_all,acc_no_attractor,acc_attractor,attractor_gap,mean_surprisal_correct_bits,n_all,n_attractor,n_no_attractor,checkpoint
baseline,0.0,1,8000,0.9600383470407186,0.9663769066754141,0.8841623036649214,0.08221460301049266,5.530152161265783,19819,1528,18291,lstm_baseline_seed1_step8000.pt
baseline,0.0,1,8500,0.963469398052374,0.9690558198020884,0.8965968586387435,0.07245896116334494,5.507979187136493,19819,1528,18291,lstm_baseline_seed1_step8500.pt
baseline,0.0,1,9000,0.9631666582572279,0.9691651631950139,0.8913612565445026,0.07780390665051129,5.58920860136175,19819,1528,18291,lstm_baseline_seed1_step9000.pt
baseline,0.0,1,9500,0.9652353801907261,0.9708053140888961,0.8985602094240838,0.07224510466481238,5.410427435995121,19819,1528,18291,lstm_baseline_seed1_step9500.pt
baseline,0.0,1,10000,0.9597860638780967,0.9655021595320102,0.8913612565445026,0.07414090298750764,5.484141036297671,19819,1528,18291,lstm_baseline_seed1_step10000.pt
baseline,0.0,1,10500,0.9664463393713103,0.9712973593570609,0.9083769633507853,0.06292039600627553,5.525024013760529,19819,1528,18291,lstm_baseline_seed1_step10500.pt
baseline,0.0,1,11000,0.9671527322266512,0.9714613744464491,0.9155759162303665,0.055885458216082595,5.455129558836639,19819,1528,18291,lstm_baseline_seed1_step11000.pt
baseline,0.0,1,11500,0.9664967960038348,0.9706959706959707,0.9162303664921466,0.05446560420382407,5.419199546534839,19819,1528,18291,lstm_baseline_seed1_step11500.pt
low,0.004,1,500,0.6807104293859427,0.6927450658793942,0.5366492146596858,0.15609585121970837,8.282272952062641,19819,1528,18291,lstm_low_seed1_step500.pt
low,0.004,1,1000,0.7110853221655987,0.7250560384888743,0.543848167539267,0.18120787094960733,7.73279190396561,19819,1528,18291,lstm_low_seed1_step1000.pt
low,0.004,1,1500,0.7442353297340936,0.7621234486906129,0.5301047120418848,0.23201873664872807,7.146060161619674,19819,1528,18291,lstm_low_seed1_step1500.pt
low,0.004,1,2000,0.7893940158433826,0.8116013339893937,0.5235602094240838,0.28804112456530995,6.824528811709663,19819,1528,18291,lstm_low_seed1_step2000.pt
low,0.004,1,2500,0.8361673141934507,0.8598764419659942,0.5523560209424084,0.3075204210235858,6.544541555088128,19819,1528,18291,lstm_low_seed1_step2500.pt
low,0.004,1,3000,0.8782481457187548,0.9016456180635285,0.5981675392670157,0.3034780787965128,6.288488392724643,19819,1528,18291,lstm_low_seed1_step3000.pt
low,0.004,1,3500,0.8997426711741259,0.9223661910229074,0.6289267015706806,0.29343948945222675,6.125041776108117,19819,1528,18291,lstm_low_seed1_step3500.pt
low,0.004,1,4000,0.9165951864372571,0.9351046962987262,0.6950261780104712,0.240078518288255,6.0051955579118035,19819,1528,18291,lstm_low_seed1_step4000.pt
low,0.004,1,4500,0.9373328624047631,0.9508501448799956,0.775523560209424,0.1753265846705716,6.034043737723405,19819,1528,18291,lstm_low_seed1_step4500.pt
low,0.004,1,5000,0.9347091175134972,0.9504674430047564,0.7460732984293194,0.20439414457543703,5.892761832902394,19819,1528,18291,lstm_low_seed1_step5000.pt
low,0.004,1,5500,0.9403098037236994,0.9530370127385053,0.7879581151832461,0.16507889755525917,5.831623208872559,19819,1528,18291,lstm_low_seed1_step5500.pt
low,0.004,1,6000,0.9519652858368233,0.9602536766715871,0.8527486910994765,0.10750498557211063,5.647668773633076,19819,1528,18291,lstm_low_seed1_step6000.pt
low,0.004,1,6500,0.9526716786921641,0.961948499261932,0.8416230366492147,0.12032546261271737,5.668909587739719,19819,1528,18291,lstm_low_seed1_step6500.pt
low,0.004,1,7000,0.9567082092941117,0.9646274123886064,0.8619109947643979,0.10271641762420847,5.551908631943111,19819,1528,18291,lstm_low_seed1_step7000.pt
